IC TERM STRUCTURE — mean Spearman IC by forward horizon (trading days)
natural horizon = peak |IC|.  ⚠ = sign flips across horizons (reversal).


── FAST (54) ──
signal                       tier          5d       20d       63d      126d      252d   peak   bucket
profit_margin                LARGE     +0.041    +0.006    -0.020    -0.098    -0.205   252d     SLOW ⚠
profit_margin                MID       -0.031    -0.025    -0.057    -0.108    -0.147   252d     SLOW
promoter_qoq                 LARGE     -0.024    -0.008    -0.010    +0.024    -0.025   252d     SLOW ⚠
promoter_qoq                 MID       +0.016    +0.021    +0.033    +0.065    +0.076   252d     SLOW
pt_upside                    LARGE     +0.188    +0.281    +0.438    +0.580    +0.653   252d     SLOW
pt_upside                    MID       +0.213    +0.324    +0.523    +0.639    +0.670   252d     SLOW
pt_upside                    SMALL     +0.162    +0.289    +0.480    +0.637    +0.669   252d     SLOW
quality_composite            LARGE     +0.043    -0.007    -0.006    -0.033    -0.099   252d     SLOW ⚠
quality_composite            MID       -0.030    -0.039    -0.073    -0.137    -0.170   252d     SLOW
relative_growth              LARGE     -0.027    +0.003    +0.002    +0.008    -0.095   252d     SLOW ⚠
relative_growth              MID       +0.024    +0.018    +0.002    +0.006    -0.050   252d     SLOW ⚠
relative_growth              SMALL     -0.001    +0.002    -0.014    -0.030    -0.043   252d     SLOW ⚠
relative_turnover            LARGE     -0.003    -0.005    -0.009    +0.003    +0.018   252d     SLOW ⚠
relative_turnover            MID       +0.016    +0.006    -0.005    -0.021    +0.011   126d     SLOW ⚠
relative_turnover            SMALL     -0.008    -0.017    -0.020    -0.024    +0.000   126d     SLOW ⚠
revenue_cv_5y                LARGE     -0.005    +0.015    +0.033    +0.073    +0.178   252d     SLOW ⚠
revenue_cv_5y                MID       -0.024    +0.009    +0.024    +0.046    +0.090   252d     SLOW ⚠
revenue_cv_5y                SMALL     +0.004    -0.002    +0.008    +0.039    +0.061   252d     SLOW ⚠
roa                          LARGE     +0.012    -0.028    -0.041    -0.082    -0.117   252d     SLOW ⚠
roa                          MID       -0.009    -0.023    -0.040    -0.115    -0.171   252d     SLOW
roe                          MID       -0.032    -0.035    -0.060    -0.132    -0.176   252d     SLOW
roe                          SMALL     +0.015    +0.021    -0.003    -0.024    -0.036   252d     SLOW ⚠
roic                         LARGE     -0.003    -0.026    -0.042    -0.040    -0.074   252d     SLOW
roic                         MID       -0.001    -0.022    -0.052    -0.107    -0.115   252d     SLOW
roic                         SMALL     -0.009    -0.020    -0.034    -0.070    -0.114   252d     SLOW
roiic                        MID       -0.020    -0.003    +0.011    -0.007    -0.047   252d     SLOW ⚠
roiic                        SMALL     -0.013    +0.003    -0.008    -0.028    -0.063   252d     SLOW ⚠
sga_to_revenue_change        LARGE     +0.011    -0.020    -0.025    -0.042    +0.001   126d     SLOW ⚠
sga_to_revenue_change        MID       -0.003    +0.004    -0.002    +0.017    +0.032   252d     SLOW ⚠
sga_to_revenue_change        SMALL     -0.006    -0.005    -0.006    +0.002    +0.013   252d     SLOW ⚠
share_momentum               SMALL     -0.021    +0.004    +0.014    +0.027    +0.032   252d     SLOW ⚠
short_selling_signal         MID       +0.014    +0.014    +0.034    +0.076    +0.155   252d     SLOW
short_selling_signal         SMALL     -0.004    -0.011    -0.009    -0.013    +0.018   252d     SLOW ⚠
sloan_accruals_full          LARGE     +0.006    +0.009    +0.019    +0.000    -0.096   252d     SLOW ⚠
sloan_accruals_full          SMALL     +0.007    +0.002    -0.015    -0.031    -0.049   252d     SLOW ⚠
value_composite              LARGE     -0.032    +0.004    +0.008    +0.065    +0.109   252d     SLOW ⚠
value_composite              MID       +0.018    +0.040    +0.061    +0.113    +0.154   252d     SLOW
value_composite              SMALL     +0.013    +0.035    +0.083    +0.136    +0.205   252d     SLOW
wc_intensity                 SMALL     +0.017    +0.023    +0.031    +0.033    +0.029   126d     SLOW
z_score                      LARGE     +0.011    -0.074    -0.076    -0.113    -0.106   126d     SLOW ⚠
z_score                      MID       +0.022    -0.033    -0.040    -0.105    -0.115   252d     SLOW ⚠
z_score                      SMALL     +0.005    +0.002    +0.006    -0.011    -0.007   126d     SLOW ⚠

── INSUFFICIENT (3) ──
signal                       tier          5d       20d       63d      126d      252d   peak   bucket
bulk_deal_signal             MID            —         —         —         —         —      — INSUFFICIENT
buyback_announcement_30d     LARGE          —         —         —         —         —      — INSUFFICIENT
buyback_announcement_30d     MID            —         —         —         —         —      — INSUFFICIENT
